disease,herbs,therapy,diet,vata_effect,pitta_effect,kapha_effect
Chlamydia,"Chandraprabha, Gokshura, Neem","Uttara Basti, Virechana","Light diet, fluids","Clears urinary tract","Reduces burning","Eliminates infection"
Cholera,"Kutaja, Musta, Dhanyaka","Takra Pana, Oral rehydration","Rice water, electrolytes","Stops vata disturbance","Cools intestinal heat","Binds loose stools"
Cirrhosis,"Bhringraj, Katuki, Punarnava","Virechana, Basti","Light diet, bitter vegetables","Regenerates liver cells","Cools liver inflammation","Reduces fluid retention"
Common Cold,"Tulsi, Ginger, Pippali","Nasya, Steam inhalation","Warm fluids, spices","Clears nasal passages","Reduces sinus inflammation","Expels mucus"
Constipation,"Triphala, Haritaki, Isabgol","Basti, Virechana","High fiber, warm water","Stimulates peristalsis","Softens stool","Clears bowel obstruction"
COPD,"Vasaka, Pushkarmool, Kantakari","Nasya, Pranayama","Warm foods, avoid cold","Opens airways","Reduces lung inflammation","Expels chronic mucus"
COVID-19,"Giloy, Ashwagandha, Tulsi","Nasya, Steam inhalation","Warm fluids, immunity foods","Strengthens respiratory system","Reduces fever","Clears lung congestion"
Crohn's Disease,"Kutaja, Musta, Bilva","Basti, Deepana Pachana","Bland diet, cooked vegetables","Heals intestinal lining","Reduces inflammation","Improves absorption"
Dengue,"Giloy, Papaya leaf, Tulsi","Takra Pana, Abhyanga","Fluids, light diet","Increases platelet count","Reduces fever","Improves immunity"
Depression,"Brahmi, Ashwagandha, St. John's Wort","Shirodhara, Nasya","Sattvic diet, warm milk","Uplifts mood","Cools mental inflammation","Reduces lethargy"
Diabetes,"Gudmar, Vijaysar, Jamun","Udvarthana, Basti","Low glycemic, high fiber","Regulates blood sugar","Cools excess heat","Reduces weight"
Diarrhea,"Kutaja, Bael, Musta","Takra Pana, Deepana","BRAT diet, buttermilk","Binds loose stools","Cools intestinal inflammation","Absorbs excess fluid"
Diverticulitis,"Triphala, Guggulu, Haritaki","Basti, Virechana","High fiber, soft foods","Reduces bowel spasms","Cools intestinal pouches","Clears infection"
Eczema,"Neem, Turmeric, Khadira","Lepa, Udvarthana","Cooling foods, avoid allergens","Moisturizes dry skin","Reduces inflammation","Reduces weeping"
Endometriosis,"Ashoka, Lodhra, Shatavari","Uttara Basti, Abhyanga","Warm foods, anti-inflammatory","Balances menstrual flow","Reduces pelvic heat","Dissolves tissue growth"
Epididymitis,"Gokshura, Punarnava, Chandraprabha","Basti, Abhyanga","High fluids, cooling foods","Improves testicular circulation","Reduces inflammation","Clears infection"
Fabry Disease,"Ashwagandha, Guduchi, Punarnava","Rasayana, Panchakarma","Nutritious, kidney-friendly","Supports enzyme function","Reduces organ heat","Detoxifies system"
Fibromyalgia,"Dashmool, Rasna, Ashwagandha","Abhyanga, Swedana","Anti-inflammatory, warm foods","Reduces widespread pain","Calms nerve inflammation","Improves circulation"
Gallstones,"Kumari, Kutki, Punarnava","Virechana, Basti","Low fat, bitter vegetables","Improves bile flow","Dissolves stones","Reduces cholesterol"
Gastritis,"Yashtimadhu, Shatavari, Amalaki","Sheetali, Abhyanga","Cooling foods, avoid spicy","Soothes stomach lining","Reduces acidity","Protects mucosa"
GERD,"Yashtimadhu, Shatavari, Amalaki","Sheetali, Virechana","Alkaline foods, small meals","Reduces reflux","Cools acid production","Strengthens sphincter"
Gestational Diabetes,"Gudmar, Vijaysar, Fenugreek","Abhyanga, Diet therapy","Low sugar, frequent small meals","Stabilizes blood sugar","Cools excess heat","Balances weight gain"
Glycogen Storage Disease,"Ashwagandha, Shatavari, Bala","Rasayana, Basti","Complex carbs, protein","Supports liver metabolism","Balances enzyme activity","Improves energy storage"
Gonorrhea,"Chandraprabha, Gokshura, Neem","Uttara Basti, Virechana","Light diet, cranberry juice","Clears urinary infection","Reduces burning","Eliminates discharge"
Goodpasture Disease,"Guduchi, Punarnava, Varuna","Raktamokshana, Basti","Low protein, kidney-friendly","Reduces autoimmune response","Protects kidney tissue","Clears lung congestion"
Gout,"Guggulu, Giloy, Punarnava","Lekhana Basti, Virechana","Low purine, alkaline foods","Improves uric acid metabolism","Reduces joint inflammation","Eliminates toxins"
Heart Failure,"Arjuna, Pushkarmool, Brahmi","Hridaya Basti, Shirodhara","Low salt, heart-healthy","Strengthens cardiac muscle","Reduces fluid retention","Improves circulation"
Hemochromatosis,"Katuki, Bhringraj, Punarnava","Raktamokshana, Virechana","Low iron, vitamin C moderate","Reduces iron absorption","Removes excess iron","Protects liver"
Hepatitis,"Bhringraj, Katuki, Punarnava","Virechana, Basti","Light diet, bitter foods","Regenerates liver cells","Cools liver inflammation","Detoxifies liver"
Hepatitis A,"Bhringraj, Kutki, Guduchi","Virechana, Rest","Easily digestible, fluids","Improves liver function","Reduces jaundice","Clears viral load"
Hepatitis B,"Katuki, Bhringraj, Kalmegh","Rasayana, Virechana","Low fat, antioxidants","Strengthens liver immunity","Reduces chronic inflammation","Detoxifies blood"
Hepatitis C,"Bhringraj, Katuki, Punarnava","Rasayana, Panchakarma","Liver-friendly, low fat","Regenerates hepatocytes","Cools viral inflammation","Prevents fibrosis"
Herpes,"Neem, Turmeric, Guduchi","Lepa, Raktamokshana","Immunity-boosting, lysine-rich","Strengthens skin immunity","Reduces outbreak frequency","Clears viral toxins"
Hiatal Hernia,"Yashtimadhu, Shatavari, Haritaki","Virechana, Postural therapy","Small meals, avoid triggers","Reduces upward pressure","Cools acid reflux","Strengthens diaphragm"
HPV,"Neem, Guduchi, Turmeric","Uttara Basti, Rasayana","Immunity foods, antioxidants","Boosts immune clearance","Reduces wart formation","Detoxifies tissues"
Hydrocele,"Gokshura, Punarnava, Guggulu","Basti, Abhyanga","High fluids, diuretic foods","Improves fluid drainage","Reduces scrotal swelling","Clears fluid accumulation"
Hypertension,"Sarpagandha, Arjuna, Brahmi","Shirodhara, Abhyanga","Low salt, DASH diet","Calms nervous tension","Reduces blood pressure","Improves vessel elasticity"
Hyperthyroidism,"Kanchanar, Varunadi, Brahmi","Shirodhara, Virechana","Cooling foods, avoid iodine","Calms metabolism","Reduces thyroid heat","Balances hormones"
Hypothyroidism,"Kanchanar, Ashwagandha, Guggulu","Abhyanga, Udvarthana","Iodine-rich, avoid goitrogens","Stimulates thyroid function","Balances hormone production","Reduces lethargy"
IgA Nephropathy,"Punarnava, Gokshura, Varuna","Basti, Virechana","Low protein, kidney-friendly","Improves kidney filtration","Reduces glomerular inflammation","Clears proteinuria"
Impetigo,"Neem, Turmeric, Haridra","Lepa, Prakshalana","Antibacterial diet, fluids","Improves skin healing","Reduces bacterial infection","Clears crusting"
Influenza,"Tulsi, Giloy, Ginger","Nasya, Steam inhalation","Warm fluids, rest","Strengthens immunity","Reduces fever","Expels respiratory mucus"
Interstitial Cystitis,"Gokshura, Chandraprabha, Varuna","Basti, Abhyanga","Bladder-friendly, high water","Reduces bladder spasms","Soothes bladder lining","Clears inflammation"
Irritable Bowel Syndrome,"Bilva, Musta, Chitrak","Basti, Deepana Pachana","Low FODMAP, warm foods","Regulates bowel movements","Reduces intestinal irritation","Improves digestion"
Kidney Stones,"Gokshura, Varuna, Punarnava","Basti, Virechana","High water, low oxalate","Breaks stones","Reduces stone formation","Flushes urinary tract"
Lupus,"Guduchi, Ashwagandha, Turmeric","Panchakarma, Abhyanga","Anti-inflammatory, omega-3","Balances immune system","Reduces systemic inflammation","Detoxifies tissues"
Lyme Disease,"Guduchi, Neem, Nirgundi","Abhyanga, Swedana","Anti-inflammatory, nutritious","Reduces joint pain","Cools bacterial inflammation","Improves mobility"
Malaria,"Chirayata, Kutaja, Tulsi","Takra Pana, Virechana","Light diet, fluids","Strengthens immunity","Reduces fever cycles","Clears parasitic toxins"
Maple Syrup Urine Disease,"Brahmi, Ashwagandha, Shatavari","Rasayana, Panchakarma","Controlled protein, special diet","Supports neurological function","Balances amino acids","Detoxifies metabolites"
Measles,"Neem, Giloy, Tulsi","Lepa, Parisheka","Cooling foods, fluids","Balances fever","Reduces rash inflammation","Boosts immunity"
Migraine,"Brahmi, Shankhapushpi, Jatamansi","Shirodhara, Nasya","Avoid triggers, regular meals","Calms vascular spasms","Reduces head heat","Clears sinus congestion"
Minimal Change Disease,"Punarnava, Gokshura, Varuna","Basti, Virechana","Low protein, kidney-friendly","Improves kidney function","Reduces proteinuria","Clears edema"
Multiple Sclerosis,"Ashwagandha, Brahmi, Bala","Abhyanga, Nasya","Anti-inflammatory, omega-3","Strengthens nerve sheaths","Reduces nerve inflammation","Improves nerve conduction"
Mumps,"Giloy, Neem, Haridra","Lepa, Gargle therapy","Soft foods, fluids","Reduces gland swelling","Cools viral fever","Clears salivary blockage"
Myelodysplastic Syndromes,"Ashwagandha, Guduchi, Amalaki","Rasayana, Raktamokshana","Nutritious, blood-building","Strengthens bone marrow","Balances blood cell production","Detoxifies blood"
Neurogenic Bladder,"Ashwagandha, Bala, Gokshura","Basti, Abhyanga","Bladder training diet","Improves nerve-bladder connection","Reduces inflammation","Strengthens bladder control"
Niemann-Pick Disease,"Brahmi, Ashwagandha, Guduchi","Rasayana, Panchakarma","Nutritious, enzyme-supportive","Supports cellular metabolism","Reduces organ inflammation","Detoxifies lipid accumulation"
Obesity,"Guggulu, Triphala, Vrikshamla","Udvarthana, Lekhana Basti","Low carb, high fiber","Stimulates metabolism","Regulates fat burning","Reduces fat tissue"
Osteoarthritis,"Shallaki, Guggulu, Yogaraja","Janu Basti, Kati Basti","Anti-inflammatory, collagen-rich","Lubricates joints","Reduces wear and tear","Strengthens cartilage"
Osteoporosis,"Ashwagandha, Shatavari, Laksha","Basti, Abhyanga","Calcium-rich, vitamin D","Strengthens bone density","Balances bone metabolism","Improves bone formation"
Overactive Bladder,"Gokshura, Chandraprabha, Ashwagandha","Basti, Abhyanga","Bladder-calming foods","Reduces urgency","Soothes bladder irritation","Improves control"
Pancreatitis,"Kutki, Guduchi, Punarnava","Virechana, Fasting","Low fat, liquid diet","Reduces pancreatic stress","Cools pancreatic inflammation","Clears duct blockage"
Parkinson's Disease,"Mucuna, Ashwagandha, Brahmi","Abhyanga, Nasya","High protein, antioxidants","Improves dopamine production","Reduces neuroinflammation","Enhances motor function"
PCOS,"Shatavari, Ashoka, Kanchanar","Uttara Basti, Udvarthana","Low glycemic, anti-inflammatory","Regulates ovulation","Balances hormones","Reduces cyst formation"
Pelvic Inflammatory Disease,"Ashoka, Lodhra, Neem","Uttara Basti, Yoni Pichu","Anti-inflammatory, probiotics","Improves pelvic circulation","Reduces infection","Clears discharge"
Peptic Ulcer,"Yashtimadhu, Shatavari, Amalaki","Sheetali, Virechana","Bland diet, avoid spicy","Heals ulcer lining","Reduces acid secretion","Protects stomach wall"
Pneumonia,"Vasaka, Kantakari, Pushkarmool","Nasya, Steam therapy","Warm fluids, nutritious","Opens airways","Reduces lung inflammation","Expels infection"
Polycythemia Vera,"Manjistha, Guduchi, Punarnava","Raktamokshana, Virechana","Hydrating foods, low iron","Improves blood viscosity","Reduces excess blood production","Prevents clotting"
Pompe Disease,"Ashwagandha, Bala, Shatavari","Rasayana, Abhyanga","Enzyme-supportive, nutritious","Supports muscle strength","Balances glycogen metabolism","Improves cardiac function"
Postpartum Depression,"Brahmi, Ashwagandha, Shatavari","Shirodhara, Abhyanga","Nutritious, warm foods","Balances postpartum vata","Cools emotional heat","Reduces heaviness"
Preeclampsia,"Punarnava, Gokshura, Brahmi","Shirodhara, Abhyanga","Low salt, high protein","Reduces blood pressure","Cools pregnancy heat","Prevents edema"
Prostatitis,"Gokshura, Shilajit, Chandraprabha","Basti, Abhyanga","Anti-inflammatory, high water","Improves prostate circulation","Reduces inflammation","Clears infection"
Psoriasis,"Neem, Turmeric, Khadira","Lepa, Raktamokshana","Anti-inflammatory, omega-3","Moisturizes scales","Reduces skin inflammation","Clears thick plaques"
Rheumatoid Arthritis,"Shallaki, Guggulu, Ashwagandha","Panchakarma, Abhyanga","Anti-inflammatory, omega-3","Improves joint mobility","Reduces autoimmune inflammation","Prevents deformity"
Ringworm,"Neem, Turmeric, Daruharidra","Lepa, Prakshalana","Antifungal diet, hygiene","Improves skin immunity","Reduces fungal growth","Clears circular lesions"
Rubella,"Giloy, Neem, Tulsi","Lepa, Rest","Cooling foods, fluids","Balances mild fever","Reduces rash","Boosts immunity"
Scabies,"Neem, Turmeric, Karanja oil","Lepa, Abhyanga","Anti-parasitic diet","Reduces itching","Kills mites","Heals burrows"
Shingles,"Neem, Giloy, Yashtimadhu","Lepa, Parisheka","Nerve-supporting, lysine-rich","Calms nerve pain","Reduces viral inflammation","Clears blisters"
Sinusitis,"Haridra, Trikatu, Chitrak","Nasya, Steam inhalation","Warm spices, avoid dairy","Clears sinus blockage","Reduces sinus inflammation","Expels mucus"
Social Anxiety Disorder,"Brahmi, Ashwagandha, Jatamansi","Shirodhara, Meditation","Sattvic diet, calming herbs","Calms nervousness","Reduces social heat","Clears mental fog"
Stroke,"Brahmi, Ashwagandha, Arjuna","Nasya, Abhyanga","Brain foods, low salt","Improves nerve regeneration","Reduces brain inflammation","Prevents blood clots"
Syphilis,"Neem, Khadira, Manjistha","Raktamokshana, Virechana","Detoxifying, immunity foods","Purifies blood","Reduces bacterial heat","Clears lesions"
Tay-Sachs Disease,"Brahmi, Ashwagandha, Shankhapushpi","Rasayana, Nasya","Neurological support, nutritious","Supports nerve function","Reduces enzyme deficiency effects","Slows progression"
Testicular Torsion,"Gokshura, Ashwagandha, Bala","Emergency + Basti post-surgery","Nutritious, healing foods","Improves testicular circulation","Reduces inflammation","Prevents recurrence"
Trichomoniasis,"Neem, Lodhra, Triphala","Uttara Basti, Yoni Pichu","Probiotics, anti-parasitic","Balances vaginal pH","Reduces infection","Clears discharge"
Tuberculosis,"Vasaka, Pippali, Ashwagandha","Rasayana, Nutrition therapy","High protein, nutritious","Strengthens lungs","Reduces chronic cough","Builds immunity"
Typhoid,"Chirayata, Kutaja, Giloy","Takra Pana, Rest","Light diet, fluids, probiotics","Strengthens digestion","Reduces prolonged fever","Clears intestinal infection"
Ulcerative Colitis,"Kutaja, Bilva, Musta","Basti, Deepana Pachana","Bland diet, cooked vegetables","Heals colon lining","Reduces bloody inflammation","Stops diarrhea"
UTI,"Gokshura, Chandraprabha, Punarnava","Basti, Virechana","High water, cranberry","Flushes urinary tract","Reduces burning","Clears bacterial infection"
Varicose Veins,"Manjistha, Sariva, Guggulu","Abhyanga, Compression","High fiber, leg elevation","Improves venous return","Reduces vein inflammation","Strengthens vessel walls"
Varicocele,"Gokshura, Ashwagandha, Guggulu","Basti, Abhyanga","Antioxidant-rich, nutritious","Improves testicular blood flow","Reduces scrotal heat","Clears venous congestion"
Vertigo Paroxysmal Positional Vertigo,"Brahmi, Jatamansi, Shankhapushpi","Shirodhara, Nasya","Light diet, avoid triggers","Balances inner ear","Reduces spinning sensation","Clears fluid imbalance"
Whooping Cough,"Vasaka, Kantakari, Tulsi","Nasya, Steam therapy","Warm fluids, honey","Calms coughing fits","Reduces airway inflammation","Expels thick mucus"
Wilson Disease,"Katuki, Bhringraj, Punarnava","Virechana, Panchakarma","Low copper, detoxifying","Removes copper deposits","Protects liver","Clears neurological symptoms"
